code,index
AADI,IDX30
AADI,LQ45
ADMR,IDX30
ADMR,LQ45
ADRO,IDX30
ADRO,LQ45
AKRA,LQ45
AMMN,LQ45
AMRT,IDX30
AMRT,LQ45
ANTM,IDX30
ANTM,LQ45
ASII,IDX30
ASII,LQ45
BBCA,IDX30
BBCA,LQ45
BBNI,IDX30
BBNI,LQ45
BBRI,IDX30
BBRI,LQ45
BBTN,LQ45
BMRI,IDX30
BMRI,LQ45
BRPT,IDX30
BRPT,LQ45
BUMI,IDX30
BUMI,LQ45
CPIN,IDX30
CPIN,LQ45
CTRA,LQ45
CUAN,LQ45
DEWA,IDX30
DEWA,LQ45
EMTK,IDX30
EMTK,LQ45
ESSA,LQ45
EXCL,LQ45
GOTO,IDX30
GOTO,LQ45
HEAL,LQ45
HRTA,LQ45
ICBP,IDX30
ICBP,LQ45
INCO,IDX30
INCO,LQ45
INDF,IDX30
INDF,LQ45
INDY,LQ45
INKP,IDX30
INKP,LQ45
ISAT,LQ45
ITMG,LQ45
JPFA,IDX30
JPFA,LQ45
KLBF,IDX30
KLBF,LQ45
MAPI,LQ45
MBMA,IDX30
MBMA,LQ45
MDKA,IDX30
MDKA,LQ45
MEDC,IDX30
MEDC,LQ45
NCKL,LQ45
PGAS,IDX30
PGAS,LQ45
PGEO,IDX30
PGEO,LQ45
PTBA,LQ45
SCMA,LQ45
TLKM,IDX30
UNTR,IDX30
UNTR,LQ45
UNVR,IDX30
WIFI,LQ45
